bytes_in,bytes_out,destination.bytes,source.bytes,network.bytes,event.duration,source.ip,destination.ip,source.port,network.packets,destination.port,attack
76.0,56.0,56.0,76.0,132.0,7950.0,10.10.10.10,10.10.10.30,58456.0,2,18.0,1.0
76.0,56.0,56.0,76.0,132.0,6970.0,10.10.10.10,10.10.10.30,42998.0,2,19.0,1.0
76.0,56.0,56.0,76.0,132.0,9280.0,10.10.10.10,10.10.10.30,56374.0,2,20.0,1.0
76.0,56.0,56.0,76.0,132.0,8220.0,10.10.10.10,10.10.10.30,33268.0,2,21.0,1.0
76.0,56.0,56.0,76.0,132.0,8050.0,10.10.10.10,10.10.10.30,51472.0,2,22.0,1.0
76.0,56.0,56.0,76.0,132.0,6640.0,10.10.10.10,10.10.10.30,43198.0,2,23.0,1.0
76.0,56.0,56.0,76.0,132.0,6340.0,10.10.10.10,10.10.10.30,48518.0,2,24.0,1.0
76.0,56.0,56.0,76.0,132.0,7130.0,10.10.10.10,10.10.10.30,49354.0,2,25.0,1.0
76.0,56.0,56.0,76.0,132.0,6580.0,10.10.10.10,10.10.10.30,39746.0,2,26.0,1.0
76.0,56.0,56.0,76.0,132.0,6380.0,10.10.10.10,10.10.10.30,53936.0,2,27.0,1.0
76.0,56.0,56.0,76.0,132.0,6260.0,10.10.10.10,10.10.10.30,35012.0,2,28.0,1.0
76.0,56.0,56.0,76.0,132.0,7410.0,10.10.10.10,10.10.10.30,59104.0,2,29.0,1.0
76.0,56.0,56.0,76.0,132.0,7370.0,10.10.10.10,10.10.10.30,54958.0,2,30.0,1.0
76.0,56.0,56.0,76.0,132.0,6230.0,10.10.10.10,10.10.10.30,49062.0,2,31.0,1.0
76.0,56.0,56.0,76.0,132.0,6330.0,10.10.10.10,10.10.10.30,48336.0,2,32.0,1.0
76.0,56.0,56.0,76.0,132.0,9450.0,10.10.10.10,10.10.10.30,42836.0,2,33.0,1.0
76.0,56.0,56.0,76.0,132.0,19230.0,10.10.10.10,10.10.10.30,58470.0,2,34.0,1.0
76.0,56.0,56.0,76.0,132.0,6360.0,10.10.10.10,10.10.10.30,41848.0,2,35.0,1.0
76.0,56.0,56.0,76.0,132.0,6370.0,10.10.10.10,10.10.10.30,50726.0,2,36.0,1.0
76.0,56.0,56.0,76.0,132.0,8240.0,10.10.10.10,10.10.10.30,36704.0,2,37.0,1.0
76.0,56.0,56.0,76.0,132.0,7550.0,10.10.10.10,10.10.10.30,59856.0,2,38.0,1.0
76.0,56.0,56.0,76.0,132.0,6490.0,10.10.10.10,10.10.10.30,35422.0,2,39.0,1.0
76.0,56.0,56.0,76.0,132.0,28880.0,10.10.10.10,10.10.10.30,41660.0,2,40.0,1.0
76.0,56.0,56.0,76.0,132.0,7660.0,10.10.10.10,10.10.10.30,46052.0,2,41.0,1.0
76.0,56.0,56.0,76.0,132.0,6410.0,10.10.10.10,10.10.10.30,55040.0,2,42.0,1.0
76.0,56.0,56.0,76.0,132.0,6230.0,10.10.10.10,10.10.10.30,60870.0,2,43.0,1.0
76.0,56.0,56.0,76.0,132.0,6490.0,10.10.10.10,10.10.10.30,42814.0,2,44.0,1.0
76.0,56.0,56.0,76.0,132.0,7160.0,10.10.10.10,10.10.10.30,37572.0,2,45.0,1.0
76.0,56.0,56.0,76.0,132.0,10220.0,10.10.10.10,10.10.10.30,45186.0,2,46.0,1.0
